ID,X,Y,zona
sSL_1,497615.0,2129035.0,zona5a
sSL_5,497315.0,2129600.0,zona5a
sTul_7,498855.0,2128500.0,zona5a
c1971,487464.0,2128877.0,zona6a
c2002,493529.0,2128749.0,zona6a
c2614,482446.0,2131510.0,zona6a
c2004,489257.0,2127870.0,zona6a
p2213,482171.0,2132995.0,zona6a
p2434,484572.0,2131956.0,zona6a
p2435,483732.0,2131425.0,zona6a
p480,483114.0,2131346.0,zona6a
sSL_15,493331.0,2128902.0,zona6a
c133_B,483306.0,2130008.0,zona6a
s48,481261.0,2131506.0,zona6a
sN_2,487133.0,2129237.0,zona6a
sN_5,487231.0,2128266.0,zona6a
sPer_6,484192.0,2132586.0,zona6a
sSL_14,493710.0,2128823.0,zona6a
sSL_18,492829.0,2128339.0,zona6a
sSL_19,491807.0,2127960.0,zona6a
sSL_20,490706.0,2127793.0,zona6a
s223,483072.0,2129627.0,zona6a
s49,482401.0,2131586.0,zona6a
sPer_8,483602.0,2132446.0,zona6a
sS_7,492891.0,2126808.0,zona6a
s159,483222.0,2133095.0,zona6a
s210,486650.0,2126527.0,zona6a
s214,489441.0,2127276.0,zona6a
sS_8,488261.0,2127516.0,zona6a
c134_B,491742.0,2127888.0,zona6a
cB_643,481272.0,2131425.0,zona6a
s274,494205.0,2127862.0,zona6a
s275,494228.0,2127235.0,zona6a
s278,490330.0,2126433.0,zona6a
sR_3,483442.0,2129986.0,zona6a
sR_6,484512.0,2131265.0,zona6a
sR_7,484372.0,2130646.0,zona6a
s148,480995.0,2131462.0,zona6a
s299,481921.0,2130816.0,zona6a
sSL_13,494961.0,2128603.0,zona6a
sSL_17,492917.0,2128568.0,zona6a
sR_10,483792.0,2130536.0,zona6a
sS_10,485222.0,2130406.0,zona6a
sSL_16,492704.0,2128176.0,zona6a
sPer_7,483602.0,2132446.0,zona6a
sS_2,487111.0,2126517.0,zona6a
sN_7,489421.0,2127836.0,zona6a
s219,484817.0,2130992.0,zona6a
s191,482632.0,2132332.0,zona6a
s2434,484570.0,2131946.0,zona6a
s2435,483740.0,2131422.0,zona6a
sN_6,488178.0,2127972.0,zona6a
sN_3,487635.0,2129008.0,zona6a
sR_5,484129.0,2131185.0,zona6a
sR_9,484507.0,2131554.0,zona6a
s220,484526.0,2130414.0,zona6a
s221,485444.0,2131291.0,zona6a
s285,481296.0,2132279.0,zona6a
s287,483120.0,2131330.0,zona6a
s300,483438.0,2132139.0,zona6a
sR_1,482933.0,2130862.0,zona6a
sR_2,482957.0,2130523.0,zona6a
sR_4,483459.0,2131075.0,zona6a
sR_8,484041.0,2131666.0,zona6a
0.2599,490268.0,2136564.0,zona6b
sPer_18,489804.0,2135343.0,zona6b
s41,490215.0,2136947.0,zona6b
sPer_19,488874.0,2136877.0,zona6b
sPS_18,489804.0,2135343.0,zona6b
s42,490395.0,2136697.0,zona6b
sPS_35,489834.0,2135709.0,zona6b
p2637,492015.0,2136517.0,zona7
sSC_6,495695.0,2134617.0,zona7
sSC_10,493108.0,2135089.0,zona7
sSC_13,492660.0,2136245.0,zona7
sSC_7,494188.0,2134405.0,zona7
sSC_8,493646.0,2134643.0,zona7
sSC_9,493593.0,2134868.0,zona7
s139,492660.0,2136245.0,zona7
sSC_12,493246.0,2135738.0,zona7
sSC_11,492327.0,2134822.0,zona7
sXot_8C,492425.0,2136132.0,zona7
sXot_9C,493239.0,2137267.0,zona7
cRN_4,490910.0,2134332.0,zona7a
cRN_2B,490423.0,2134840.0,zona7a
sATN_23,491186.0,2134102.0,zona7a
sTN_1,490558.0,2135052.0,zona7a
sTN_5,491084.0,2134333.0,zona7a
sATN_24,491038.0,2134472.0,zona7a
sATN_25,490825.0,2134916.0,zona7a
sTN_4,490945.0,2134583.0,zona7a
sTN_6,491353.0,2134055.0,zona7a
sTN_2,490788.0,2134786.0,zona7a
sATN_28,490714.0,2134879.0,zona7a
sATN_26,490714.0,2134879.0,zona7a
sTN_3,490881.0,2134666.0,zona7a
sATN_27,490617.0,2134923.0,zona7a
cRN_10BIS,492456.0,2132520.0,zona7b
cRN_7B,491543.0,2133408.0,zona7b
cRN_14C,493683.0,2131852.0,zona7b
cRN_15B,494104.0,2131621.0,zona7b
sATN_20,492019.0,2132965.0,zona7b
sATN_21,491770.0,2133589.0,zona7b
sTN_18,495076.0,2131262.0,zona7b
sTN_11,492519.0,2132595.0,zona7b
sTN_16,494437.0,2131688.0,zona7b
sTN_14,493566.0,2131901.0,zona7b
sTN_13,493121.0,2132132.0,zona7b
sTN_8,491844.0,2133423.0,zona7b
sTN_12,492816.0,2132345.0,zona7b
sTN_17,494798.0,2131447.0,zona7b
sTN_9,492017.0,2133176.0,zona7b
sTN_10,492204.0,2132928.0,zona7b
c2193,486426.0,2133160.0,zona8
cRS_7B,486503.0,2132317.0,zona8
cRS_5B,487538.0,2132524.0,zona8
p2433,485388.0,2132416.0,zona8
p816,485222.0,2132376.0,zona8
sN_1,486562.0,2130782.0,zona8
sS_9,486026.0,2130803.0,zona8
s118,487790.0,2131726.0,zona8
s94,486679.0,2133212.0,zona8
sPer_12,488153.0,2133115.0,zona8
sPer_9,486233.0,2131345.0,zona8
s95,487734.0,2132727.0,zona8
sPS_5,487503.0,2132636.0,zona8
sPer_10,486333.0,2132216.0,zona8
sPS_10,486333.0,2132216.0,zona8
sPS_3,488153.0,2133115.0,zona8
sPS_7,486933.0,2132236.0,zona8
s226,485681.0,2132491.0,zona8
s271,486065.0,2131760.0,zona8
s305,487057.0,2133526.0,zona8
sPS_4,487881.0,2132804.0,zona8
sPS_6,487208.0,2132493.0,zona8
sPS_8,486105.0,2132113.0,zona8
c2193,486426.0,2133160.0,zona8a
cRS_7B,486503.0,2132317.0,zona8a
cRS_5B,487538.0,2132524.0,zona8a
p2433,485388.0,2132416.0,zona8a
p816,485222.0,2132376.0,zona8a
sN_1,486562.0,2130782.0,zona8a
sS_9,486026.0,2130803.0,zona8a
s118,487790.0,2131726.0,zona8a
s94,486679.0,2133212.0,zona8a
sPer_12,488153.0,2133115.0,zona8a
sPer_9,486233.0,2131345.0,zona8a
s95,487734.0,2132727.0,zona8a
sPS_5,487503.0,2132636.0,zona8a
sPer_10,486333.0,2132216.0,zona8a
sPS_10,486333.0,2132216.0,zona8a
sPS_3,488153.0,2133115.0,zona8a
sPS_7,486933.0,2132236.0,zona8a
s226,485681.0,2132491.0,zona8a
s271,486065.0,2131760.0,zona8a
s305,487057.0,2133526.0,zona8a
sPS_4,487881.0,2132804.0,zona8a
sPS_6,487208.0,2132493.0,zona8a
sPS_8,486105.0,2132113.0,zona8a
c2765,478920.0,2138427.0,zona8b
C2798V,479560.0,2135272.0,zona8b
p2025,478601.0,2138803.0,zona8b
s180,477978.0,2138211.0,zona8b
s47,485357.0,2138170.0,zona8b
s65,479233.0,2137630.0,zona8b
s74,483898.0,2137741.0,zona8b
s31,481103.0,2138473.0,zona8b
cRS_25,483002.0,2137040.0,zona8b
s197,482687.0,2138340.0,zona8b
s266,481622.0,2136504.0,zona8b
s18,479176.0,2139108.0,zona8b
s314,483267.0,2136640.0,zona8b
s66,479590.0,2136089.0,zona8b
s44,480690.0,2137954.0,zona8b
s260,482938.0,2137112.0,zona8b
s272,483864.0,2138082.0,zona8b
s270,483541.0,2137081.0,zona8b
s313,480277.0,2137821.0,zona8b
0.5545,485120.0,2140048.0,zona9
0.5311,485263.5576,2141683.7830000003,zona9
.5681-V,489145.0,2138768.0,zona9
c5311,485264.0,2141684.0,zona9
p1078,484977.0,2143271.0,zona9
p1262,485698.0,2139260.0,zona9
p2075,484669.0,2140743.0,zona9
p2161,485262.0,2140102.0,zona9
p2259,485405.0,2141300.0,zona9
p2305,485405.0,2141300.0,zona9
p2329,487837.0,2141370.0,zona9
p857,481822.0,2142114.0,zona9
p1857,483340.0,2140734.0,zona9
s119,484686.0,2140946.0,zona9
s151,487649.0,2141016.0,zona9
s152,488361.0,2140458.0,zona9
s194,485226.0,2139758.0,zona9
s259,483778.0,2138641.0,zona9
s53,488920.0,2141217.0,zona9
s61,489524.0,2140324.0,zona9
s82,489024.0,2138895.0,zona9
p150,488052.0,2141407.0,zona9
s15,485377.0,2141715.0,zona9
s255,486893.0,2138915.0,zona9
s40,483260.0,2139989.0,zona9
s138,487813.0,2142061.0,zona9
s192,485274.0,2140695.0,zona9
s198,483779.0,2141901.0,zona9
s200,483034.0,2142593.0,zona9
p2232,480409.0,2138646.0,zona9
s170,487094.0,2143085.0,zona9
s26,481716.0,2140255.0,zona9
s169,487162.0,2141990.0,zona9
s164,487174.0,2140802.0,zona9
s193,485111.0,2142220.0,zona9
s57,480757.0,2138752.0,zona9
s87,482088.0,2142101.0,zona9
s21,480917.0,2139244.0,zona9
s22,480411.0,2143138.0,zona9
s319,483427.0,2139343.0,zona9
s165,481697.0,2139753.0,zona9
s129,482187.0,2138640.0,zona9
s163,486789.0,2140914.0,zona9
s168,487191.0,2140016.0,zona9
sXot_10B,486945.0,2139980.0,zona9
.5977-V,492616.0,2140504.0,zona9b
sTec_2,494013.0,2142311.0,zona9b
s115,496509.0,2142463.0,zona9b
s125,492326.0,2140858.0,zona9b
s126,492335.0,2141030.0,zona9b
s126_A,492584.0,2141270.0,zona9b
s244,493536.0,2140947.0,zona9b
s246,498384.0,2141677.0,zona9b
s247,497798.0,2139570.0,zona9b
s4,493122.0,2143239.0,zona9b
s9,492701.0,2143036.0,zona9b
sTec_4,494013.0,2142311.0,zona9b
s113,496897.0,2141745.0,zona9b
s123,492322.0,2140499.0,zona9b
s203,496719.0,2139192.0,zona9b
s5,490893.0,2142731.0,zona9b
s59,490429.0,2140629.0,zona9b
s6,490868.0,2143163.0,zona9b
s7,491237.0,2143074.0,zona9b
s8,491988.0,2143150.0,zona9b
s243,494401.0,2141125.0,zona9b
s124,492326.0,2140858.0,zona9b
s325,495092.0,2140748.0,zona9b
s107,496929.0,2143163.0,zona9b
s245,492106.0,2141826.0,zona9b
